city,date,temp_mean,humidity_mean,pressure_mean,wind_mean,temp_max,wind_max,mu_canicule,mu_froid,mu_vent,mu_pluie,mu_depression,mu_extreme,event_extreme,type_event
Tanger,2017-11-06,2.638333333333352,90.08333333333333,1021.375,1.2916666666666667,7.890000000000043,3.0,0.0,0.9487578654427911,0.0,0.0,1.0,0.9487578654427911,1,vague_froid
Casablanca,2015-05-09,14.140948949833364,83.5,1020.5833333333334,1.375,16.33264071900004,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tanger,2016-03-05,10.733430153833359,89.875,1003.625,2.5,16.950000000000045,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1,forte_pluie
Tanger,2016-10-29,9.884125000000019,98.91666666666667,1013.75,1.625,14.123000000000047,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tanger,2013-08-04,16.421250000000025,77.16666666666667,1038.9583333333333,0.7916666666666666,22.99000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tanger,2016-01-29,7.4830090723750216,92.08333333333333,1011.7916666666666,3.0416666666666665,10.962216510000019,8.0,0.0,0.054895945625141794,1.0,0.10270270270271203,1.0,1.0,1,vent_fort
Casablanca,2014-01-01,5.239291666666685,90.58333333333333,1030.0,0.20833333333333334,6.720000000000027,2.0,0.0,0.4688707203726987,0.0,0.0,0.0,0.4688707203726987,0,normal
Tanger,2015-11-18,7.67421443066669,78.79166666666667,1018.5833333333334,2.6666666666666665,12.629999999999995,5.0,0.0,0.019617797437700805,0.0,0.0,1.0,0.019617797437700805,0,normal
Casablanca,2013-03-15,9.217131944458357,82.5,1072.9455128205127,1.125,9.990000000000009,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Casablanca,2014-04-11,10.142083333333359,77.04166666666667,1020.7083333333334,1.5416666666666667,14.379999999999995,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Casablanca,2015-11-06,5.932558995500027,91.125,1025.4166666666667,2.9166666666666665,9.459950793000019,5.0,0.0,0.34096014412835246,0.0,0.0,0.0,0.34096014412835246,0,normal
Casablanca,2017-04-03,6.464166666666692,76.58333333333333,1024.5,1.6666666666666667,11.160000000000025,3.0,0.0,0.24287641693285145,0.0,0.0,0.0,0.24287641693285145,0,normal
Casablanca,2016-07-14,16.60675000000003,83.91666666666667,1018.4583333333334,0.875,21.52000000000004,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Casablanca,2017-10-09,9.107916666666695,86.45833333333333,1025.875,1.5416666666666667,14.240000000000009,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Casablanca,2017-02-01,0.9291666666666837,51.541666666666664,1026.4583333333333,4.041666666666667,6.810000000000002,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1,vague_froid
Agadir,2014-05-04,20.58305639491668,47.083333333333336,1014.5416666666666,1.2083333333333333,30.0,4.0,0.9008264462809875,0.0,0.0,0.0,1.0,0.9008264462809875,1,canicule
Agadir,2013-08-31,26.95769791666669,57.208333333333336,1023.0833333333334,0.4166666666666667,35.03000000000003,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,canicule
Agadir,2014-06-21,21.056649174541686,67.45833333333333,1015.625,0.7916666666666666,27.56066666700002,3.0,0.396831955991733,0.0,0.0,0.0,1.0,0.396831955991733,0,normal
Agadir,2015-08-29,27.89136830208335,59.041666666666664,1011.875,1.875,34.75,6.0,1.0,0.0,0.0,0.09189189189189635,1.0,1.0,1,canicule
Agadir,2012-11-19,16.412916666666693,82.79166666666667,1019.1666666666666,0.5833333333333334,19.33000000000004,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Agadir,2014-08-24,18.535812500000016,58.041666666666664,1024.2083333333333,0.5,25.736333333000005,1.0,0.01990358119833923,0.0,0.0,0.0,0.0,0.01990358119833923,0,normal
Agadir,2014-07-07,24.33333333333336,58.375,1010.4583333333334,0.5833333333333334,29.110000000000014,1.0,0.7169421487603281,0.0,0.0,0.2756756756756743,1.0,0.7169421487603281,1,canicule
Agadir,2013-01-05,11.084218750000021,29.833333333333332,1023.5,0.5416666666666666,18.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Agadir,2015-07-09,20.38083333333336,67.54166666666667,1011.8333333333334,2.6666666666666665,24.100000000000023,5.0,0.0,0.0,0.0,0.09729729729729682,1.0,0.09729729729729682,0,normal
Agadir,2016-03-12,11.798701924750018,66.875,1019.125,2.7916666666666665,17.04000000000002,7.0,0.0,0.0,0.5,0.0,1.0,0.5,1,vent_fort
Agadir,2013-12-15,15.08291666666669,37.791666666666664,1022.0833333333334,1.0,25.560000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Agadir,2017-11-20,15.820416666666686,48.875,1015.9583333333334,1.0833333333333333,23.54000000000002,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2013-04-15,6.504166666666689,74.0,1017.6666666666666,1.75,10.189999999999998,6.0,0.0,0.2354962580288057,0.0,0.0,1.0,0.2354962580288057,0,normal
Tetouan,2017-05-11,15.33833333333336,69.0,1012.75,2.5833333333333335,22.410000000000025,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2017-10-10,10.56958333333335,76.5,1014.2916666666666,1.25,19.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Rabat,2013-05-13,16.959166666666686,69.64583333333333,1017.9166666666666,2.375,24.590000000000032,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2014-07-17,17.833333333333353,70.33333333333333,1015.6666666666666,4.208333333333333,21.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2015-09-29,16.850873829583346,73.375,1014.3333333333334,3.75,22.629999999999995,7.0,0.0,0.0,0.5,0.0,1.0,0.5,1,vent_fort
Rabat,2016-04-09,14.815930797875025,70.125,1016.0416666666666,3.0,18.110000000000014,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2017-03-24,13.240833333333358,62.125,1023.0833333333334,5.416666666666667,16.78000000000003,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1,vent_fort
Rabat,2015-12-13,12.829526296541696,71.20833333333333,1019.2083333333334,4.833333333333333,14.230000000000018,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2013-12-10,3.8408333333333595,61.375,1028.1666666666667,0.6666666666666666,9.770000000000039,1.0,0.0,0.7268918383898947,0.0,0.0,0.0,0.7268918383898947,1,vague_froid
Rabat,2014-10-12,17.238833333333357,77.625,1027.3333333333333,1.125,23.472666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tetouan,2017-02-03,1.1187500000000152,68.16666666666667,1008.625,4.25,4.6299999999999955,10.0,0.0,1.0,1.0,0.5135135135135159,1.0,1.0,1,vague_froid
Rabat,2014-03-21,12.515416666666695,73.875,1014.625,3.1666666666666665,20.340000000000032,10.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2014-02-16,13.466250000000024,76.5,1018.875,2.9166666666666665,17.340000000000032,7.0,0.0,0.0,0.5,0.0,1.0,0.5,1,vent_fort
Rabat,2013-07-26,20.814791666666686,61.75,1013.125,1.2916666666666667,28.100000000000023,3.0,0.5082644628099158,0.0,0.0,0.0,1.0,0.5082644628099158,1,canicule
Tetouan,2017-09-14,17.53750000000002,59.0,1013.0416666666666,2.2916666666666665,23.49000000000001,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Rabat,2015-12-30,5.318448489791685,81.79166666666667,1022.5,1.2916666666666667,11.480000000000018,2.0,0.0,0.45426597204764896,0.0,0.0,0.0,0.45426597204764896,0,normal
Rabat,2016-05-19,17.416250000000023,71.375,1012.5833333333334,6.791666666666667,28.29000000000002,13.0,0.5475206611570229,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Tanger,2013-08-03,15.478541666666688,76.375,1039.5,2.2083333333333335,18.730000000000018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tanger,2013-09-24,11.899750000041692,92.66666666666667,1012.9583333333334,1.375,15.629999999999995,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tanger,2013-05-31,11.799166666666691,74.83333333333333,1018.875,4.041666666666667,15.510000000000048,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Tanger,2014-10-05,14.346479166666684,82.83333333333333,1033.2083333333333,0.8333333333333334,20.445666667000012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tanger,2017-03-10,8.934583333333356,89.54166666666667,1016.2916666666666,4.708333333333333,10.879999999999995,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Casablanca,2014-11-29,-0.6020688889583118,76.875,1006.4583333333334,5.708333333333333,4.890000000000043,9.0,0.0,1.0,1.0,0.7945945945945907,1.0,1.0,1,vague_froid
Casablanca,2015-02-13,8.958396158791691,95.58333333333333,1025.4583333333333,1.0833333333333333,9.352000000000032,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tanger,2017-05-21,16.435000000000024,65.41666666666667,1022.9583333333334,2.2916666666666665,23.510000000000048,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tanger,2014-03-27,7.847083333333361,86.375,1003.625,1.4166666666666667,11.390000000000043,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1,forte_pluie
Tanger,2014-08-07,19.449943203250026,60.666666666666664,1022.625,1.4583333333333333,25.390000000000043,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Casablanca,2016-06-09,14.591250000000018,64.0,1012.125,5.208333333333333,17.480000000000018,9.0,0.0,0.0,1.0,0.059459459459464084,1.0,1.0,1,vent_fort
Casablanca,2017-07-07,19.225416666666693,65.70833333333333,1020.4583333333334,4.541666666666667,27.189999999999998,11.0,0.3202479338842898,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Casablanca,2016-07-17,18.061583333333353,80.95833333333333,1008.2083333333334,0.875,21.0,1.0,0.0,0.0,0.0,0.5675675675675648,1.0,0.5675675675675648,1,forte_pluie
Casablanca,2017-08-02,21.287083333333353,76.20833333333333,1018.3333333333334,4.125,27.80000000000001,8.0,0.44628099173553293,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Casablanca,2015-07-25,16.707916666666694,82.20833333333333,1016.3333333333334,2.5833333333333335,20.53000000000003,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Casablanca,2015-12-29,1.5289425421250182,92.04166666666667,1021.625,1.2916666666666667,3.1899999999999977,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1,vague_froid
Agadir,2017-03-30,18.372916666666686,66.20833333333333,1014.75,2.2083333333333335,26.0,5.0,0.07438016528924765,0.0,0.0,0.0,1.0,0.07438016528924765,0,normal
Agadir,2013-01-02,9.281250000000027,57.625,1022.7916666666666,0.2916666666666667,15.140000000000043,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tetouan,2014-07-03,19.641983121916688,62.125,1019.1666666666666,0.625,27.387058905000004,1.0,0.36096258367767964,0.0,0.0,0.0,1.0,0.36096258367767964,0,normal
Tetouan,2012-10-07,15.112500000000026,35.833333333333336,1021.0,4.5,22.350000000000023,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Agadir,2015-01-11,11.860395833333358,84.25,1029.5833333333333,1.0,15.003000000000043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Agadir,2017-06-12,17.531666666666684,64.625,1015.4166666666666,2.7916666666666665,22.5,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2014-01-22,3.627291666666688,74.33333333333333,1026.7916666666667,0.8333333333333334,7.189999999999998,2.0,0.0,0.7662911242057682,0.0,0.0,0.0,0.7662911242057682,1,vague_froid
Agadir,2016-06-22,25.51208333333335,56.291666666666664,1013.75,0.5416666666666666,32.93000000000001,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1,canicule
Tetouan,2014-05-19,13.381666666666689,85.04166666666667,1012.75,0.8333333333333334,19.710000000000036,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Agadir,2014-01-21,16.931250000000016,28.708333333333332,1017.375,0.9166666666666666,23.480000000000018,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2015-03-12,11.392187500000029,93.91666666666667,1038.4166666666667,1.0,15.165666667000039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Agadir,2014-04-30,20.646395833333354,16.541666666666668,1030.4583333333333,2.75,25.317000000000007,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tetouan,2013-06-05,17.338333333333356,65.35416666666667,1016.875,0.3333333333333333,28.25,3.0,0.5392561983471013,0.0,0.0,0.0,1.0,0.5392561983471013,1,canicule
